========================================
  海外利益保护情报预警平台 - 后端服务
  版本: 2.0.0 (PostgreSQL)
  端口: 3000
  环境: development
========================================
[DB] 连接失败: 
[SELF-CLEAN] osint_intel 无需清理，200 条
[SELF-CLEAN] socmint_intel 无需清理，6 条
[AUTO-ENGINE] 自动采集引擎启动 | 深度检索每5分钟 / 社交通道每10分钟
[2026-08-06T20:19:33.151Z] GET /api/media?status=1
[2026-08-06T20:19:33.152Z] POST /api/intel/osint_intel
[2026-08-06T20:19:33.153Z] GET /api/media?status=1
[2026-08-06T20:19:33.154Z] GET /api/media?status=1
[2026-08-06T20:19:33.159Z] GET /api/media?status=1
[2026-08-06T20:19:33.162Z] GET /api/media?status=1
[2026-08-06T20:19:33.162Z] GET /api/sources
[2026-08-06T20:19:33.163Z] GET /api/media?status=1
[AUTO-ENGINE crawlAll] starting...
[AUTO-ENGINE collectSocial] starting...
[2026-08-06T20:20:32.830Z] GET /api/media?status=1
[2026-08-06T20:20:32.832Z] POST /api/intel/osint_intel
[2026-08-06T20:20:32.832Z] GET /api/media?status=1
[2026-08-06T20:20:32.834Z] GET /api/media?status=1
[2026-08-06T20:20:32.839Z] GET /api/media?status=1
[2026-08-06T20:20:32.840Z] GET /api/media?status=1
[2026-08-06T20:20:32.842Z] GET /api/media?status=1
[2026-08-06T20:20:32.842Z] POST /api/intel/osint_intel
[2026-08-06T20:20:32.848Z] GET /api/media?status=1
[2026-08-06T20:20:32.850Z] POST /api/intel/osint_intel
[2026-08-06T20:20:32.851Z] GET /api/media?status=1
[2026-08-06T20:20:32.858Z] POST /api/intel/osint_intel
[2026-08-06T20:20:32.865Z] GET /api/media?status=1
[2026-08-06T20:20:32.867Z] GET /api/media?status=1
[2026-08-06T20:20:32.869Z] GET /api/media?status=1
[2026-08-06T20:20:32.870Z] GET /api/media?status=1
[2026-08-06T20:20:32.872Z] GET /api/media?status=1
[2026-08-06T20:20:32.874Z] GET /api/media?status=1
[2026-08-06T20:20:32.875Z] GET /api/media?status=1
[2026-08-06T20:20:32.877Z] GET /api/media?status=1
[2026-08-06T20:20:32.878Z] GET /api/media?status=1
[2026-08-06T20:20:32.880Z] GET /api/media?status=1
[2026-08-06T20:20:32.883Z] GET /api/media?status=1
[2026-08-06T20:20:32.885Z] GET /api/media?status=1
[2026-08-06T20:20:32.886Z] GET /api/media?status=1
[2026-08-06T20:20:32.888Z] GET /api/media?status=1
[2026-08-06T20:20:32.891Z] GET /api/media?status=1
[2026-08-06T20:20:32.892Z] POST /api/intel/military_conflicts
[2026-08-06T20:20:32.899Z] GET /api/media?status=1
